Squad,defense_# Pl,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,defense_Season,keeper_# Pl,keeper_MP,keeper_Starts,keeper_Min,keeper_90s,keeper_GA,keeper_GA90,keeper_SoTA,keeper_Saves,keeper_Save%,keeper_W,keeper_D,keeper_L,keeper_CS,keeper_CS%,keeper_PKatt,keeper_PKA,keeper_PKsv,keeper_PKm,keeper_Save%.1,keeper_Season,league_Rank,league_MP,league_W,league_D,league_L,league_GF,league_GA,league_GD,league_Pts,league_Pts/MP,league_xG,league_xGA,league_xGD,league_xGD/90,league_Attendance,league_Season,passing_# Pl,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Season,shooting_# Pl,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,shooting_Season,standard_# Pl,standard_Age,standard_Poss,standard_MP,standard_Starts,standard_Min,standard_90s,standard_Gls,standard_Ast,standard_G+A,standard_G-PK,standard_PK,standard_PKatt,standard_CrdY,standard_CrdR,standard_xG,standard_npxG,standard_xAG,standard_npxG+xAG,standard_PrgC,standard_PrgP,standard_Gls.1,standard_Ast.1,standard_G+A.1,standard_G-PK.1,standard_G+A-PK,standard_xG.1,standard_xAG.1,standard_xG+xAG,standard_npxG.1,standard_npxG+xAG.1,standard_Season,Season,League,GK_SaveImpact,GK_PenaltyImpact
Monaco,30,38.0,733,432,296,346,91,332,696,47.7,364,356,66,290,436,1169,513,15,2020-2021,3,38,38,"3,420",38.0,42,1.11,103,62,64.1,24,6,8,15,39.5,5,5,0,0,0.0,2020-2021,3,38,24,6,8,76,42,34,78,2.05,68.7,34.6,34.1,0.9,,2020-2021,30,38.0,17738,21991,80.7,318971,108259,7468,8476,88.1,8001,9214,86.8,1824,3175,57.4,52,46.7,46.1,5.3,370,1347,364,80,1750,2020-2021,30,38.0,76,471,160,34.0,12.39,4.21,0.14,0.4,17.2,21,12,15,68.7,56.9,0.12,7.3,7.1,2020-2021,30,24.8,55.8,38,418,"3,420",38.0,76,52,128,64,12,15,78,7,68.7,56.9,46.7,103.6,757,1750,2.0,1.37,3.37,1.68,3.05,1.81,1.23,3.04,1.5,2.73,2020-2021,2020-2021,Ligue-1,2.9770545663496195,0.0
Montpellier,25,38.0,529,334,301,183,45,284,707,40.2,423,372,150,222,420,949,705,14,2020-2021,2,38,38,"3,418",38.0,62,1.63,197,137,74.6,14,12,12,5,13.2,12,12,0,0,0.0,2020-2021,8,38,14,12,12,60,62,-2,54,1.42,51.9,66.2,-14.3,-0.38,,2020-2021,25,38.0,12720,16620,76.5,250268,102515,5028,5873,85.6,5302,6391,83.0,2068,3426,60.4,42,33.8,32.8,8.2,333,1010,250,121,1311,2020-2021,25,38.0,60,459,168,36.6,12.08,4.42,0.13,0.35,17.1,27,2,5,51.9,48.1,0.11,8.1,9.9,2020-2021,25,28.0,45.7,38,418,"3,420",38.0,60,42,102,58,2,5,65,7,51.9,48.1,33.8,81.8,616,1311,1.58,1.11,2.68,1.53,2.63,1.37,0.89,2.25,1.26,2.15,2020-2021,2020-2021,Ligue-1,3.945047204898123,0.0
Nantes,25,38.0,697,385,357,270,70,369,778,47.4,409,391,107,284,464,1161,707,6,2020-2021,1,38,38,"3,420",38.0,55,1.45,168,113,73.2,9,13,16,5,13.2,12,10,1,1,9.1,2020-2021,18,38,9,13,16,47,55,-8,40,1.05,49.0,53.6,-4.6,-0.12,,2020-2021,25,38.0,12329,16543,74.5,217120,85163,5715,6671,85.7,4967,6140,80.9,1305,2790,46.8,28,29.4,25.9,-1.4,298,1100,176,49,1350,2020-2021,25,38.0,47,402,120,29.9,10.58,3.16,0.1,0.33,18.9,17,8,9,49.0,42.2,0.11,-2.0,-3.2,2020-2021,25,25.8,43.9,38,418,"3,420",38.0,47,28,75,39,8,9,70,4,49.0,42.2,29.4,71.6,656,1350,1.24,0.74,1.97,1.03,1.76,1.29,0.77,2.06,1.11,1.88,2020-2021,2020-2021,Ligue-1,3.7550858593236898,0.21820846982465172
Nice,31,38.0,599,364,281,243,75,256,628,40.8,372,355,123,232,435,1034,644,15,2020-2021,1,38,38,"3,420",38.0,53,1.39,176,123,73.9,15,7,16,9,23.7,7,7,0,0,0.0,2020-2021,9,38,15,7,16,50,53,-3,52,1.37,48.0,55.6,-7.7,-0.2,,2020-2021,31,38.0,18110,21589,83.9,309199,101348,8487,9373,90.5,7619,8561,89.0,1563,2622,59.6,26,29.9,29.3,-3.9,282,1156,230,59,1531,2020-2021,31,38.0,49,402,138,34.3,10.58,3.63,0.1,0.3,17.8,17,7,7,48.0,42.7,0.11,1.0,-0.7,2020-2021,31,23.5,54.3,38,418,"3,420",38.0,49,26,75,42,7,7,73,4,48.0,42.7,29.9,72.6,784,1531,1.29,0.68,1.97,1.11,1.79,1.26,0.79,2.05,1.12,1.91,2020-2021,2020-2021,Ligue-1,3.82517465237206,0.0
Nîmes,33,38.0,625,372,301,244,80,310,709,43.7,399,407,122,285,501,1126,710,17,2020-2021,1,38,38,"3,420",38.0,71,1.87,196,122,66.8,9,8,21,8,21.1,10,6,3,1,33.3,2020-2021,19,38,9,8,21,40,71,-31,35,0.92,43.3,64.2,-20.9,-0.55,,2020-2021,33,38.0,12696,16714,76.0,239437,90404,5153,5992,86.0,5509,6565,83.9,1656,3200,51.8,26,29.9,26.3,-3.9,285,903,199,58,1200,2020-2021,33,38.0,40,384,131,34.1,10.11,3.45,0.09,0.25,18.6,17,7,8,43.3,37.0,0.1,-3.3,-4.0,2020-2021,33,25.8,44.4,38,418,"3,420",38.0,40,26,66,33,7,8,60,5,43.3,37.0,29.9,66.9,520,1200,1.05,0.68,1.74,0.87,1.55,1.14,0.79,1.93,0.97,1.76,2020-2021,2020-2021,Ligue-1,3.529180090796976,0.6479880796354193
Paris S-G,33,38.0,609,385,217,278,114,293,700,41.9,407,327,81,246,373,982,448,22,2020-2021,3,38,38,"3,420",38.0,28,0.74,131,103,79.4,26,4,8,19,50.0,2,1,1,0,50.0,2020-2021,2,38,26,4,8,86,28,58,82,2.16,80.1,40.6,39.5,1.04,,2020-2021,33,38.0,22941,26137,87.8,354458,118629,12123,13008,93.2,8404,9299,90.4,1439,2205,65.3,52,55.6,52.9,-3.6,411,1831,427,74,2089,2020-2021,33,38.0,84,557,200,35.9,14.66,5.26,0.13,0.36,17.0,33,12,13,80.1,70.1,0.13,3.9,1.9,2020-2021,33,26.7,63.1,38,418,"3,420",38.0,84,52,136,72,12,13,79,7,80.1,70.1,55.6,125.8,909,2089,2.21,1.37,3.58,1.89,3.26,2.11,1.46,3.57,1.85,3.31,2020-2021,2020-2021,Ligue-1,3.8769447265335786,0.34657359027997264
Reims,29,38.0,656,372,336,242,78,276,645,42.8,369,335,121,214,487,1143,762,18,2020-2021,2,38,38,"3,420",38.0,50,1.32,168,117,73.2,9,15,14,10,26.3,8,5,2,1,28.6,2020-2021,14,38,9,15,14,42,50,-8,42,1.11,32.7,59.0,-26.3,-0.69,,2020-2021,29,38.0,13535,17170,78.8,258466,89989,5325,6112,87.1,6107,7064,86.5,1800,3175,56.7,23,21.7,20.8,1.3,275,968,210,57,1246,2020-2021,29,38.0,39,358,122,34.1,9.42,3.21,0.09,0.28,19.4,15,5,5,32.7,28.9,0.08,6.3,5.1,2020-2021,29,24.6,44.9,38,418,"3,420",38.0,39,23,62,34,5,5,77,8,32.7,28.9,21.7,50.6,698,1246,1.03,0.61,1.63,0.89,1.5,0.86,0.57,1.43,0.76,1.33,2020-2021,2020-2021,Ligue-1,3.7550858593236898,0.5124432081992237
Rennes,32,38.0,587,337,242,254,91,234,564,41.5,330,347,74,273,361,948,510,12,2020-2021,3,38,38,"3,420",38.0,40,1.05,131,92,71.8,16,10,12,10,26.3,4,3,0,1,0.0,2020-2021,6,38,16,10,12,52,40,12,58,1.53,47.8,38.1,9.7,0.26,,2020-2021,32,38.0,20011,23914,83.7,351486,119377,9190,10204,90.1,8499,9564,88.9,1926,3135,61.4,39,35.3,40.8,3.7,376,1556,293,83,1883,2020-2021,32,38.0,50,510,159,31.2,13.42,4.18,0.09,0.3,18.3,32,3,3,47.8,45.4,0.09,2.2,1.6,2020-2021,32,25.5,59.1,38,418,"3,420",38.0,50,39,89,47,3,3,79,5,47.8,45.4,35.3,80.7,741,1883,1.32,1.03,2.34,1.24,2.26,1.26,0.93,2.19,1.2,2.12,2020-2021,2020-2021,Ligue-1,3.505851780417014,0.0
Saint-Étienne,40,38.0,716,428,394,253,69,326,700,46.6,374,374,88,286,471,1187,665,10,2020-2021,3,38,38,"3,420",38.0,54,1.42,132,79,63.6,12,10,16,12,31.6,9,6,1,2,14.3,2020-2021,11,38,12,10,16,42,54,-12,46,1.21,48.7,50.1,-1.3,-0.04,,2020-2021,40,38.0,13610,17667,77.0,244264,93334,6072,7028,86.4,5532,6606,83.7,1579,2986,52.9,28,31.6,25.9,-3.6,330,934,228,87,1229,2020-2021,40,38.0,40,432,140,32.4,11.37,3.68,0.08,0.24,18.2,17,6,9,48.7,41.8,0.1,-8.7,-7.8,2020-2021,40,25.4,48.3,38,418,"3,420",38.0,40,28,68,34,6,9,76,2,48.7,41.8,31.6,73.4,616,1229,1.05,0.74,1.79,0.89,1.63,1.28,0.83,2.11,1.1,1.93,2020-2021,2020-2021,Ligue-1,3.1102620455490353,0.2782651513149098
Strasbourg,26,38.0,633,396,313,247,73,280,615,45.5,335,303,77,226,521,1154,641,11,2020-2021,3,38,38,"3,420",38.0,58,1.53,149,91,65.1,11,9,18,10,26.3,8,6,1,1,14.3,2020-2021,15,38,11,9,18,49,58,-9,42,1.11,52.8,50.7,2.1,0.06,,2020-2021,26,38.0,13120,17175,76.4,263920,100553,4985,5851,85.2,5680,6733,84.4,2137,3638,58.7,26,32.1,34.7,-6.1,272,1012,253,98,1301,2020-2021,26,38.0,49,419,129,30.8,11.03,3.39,0.09,0.3,18.7,17,10,12,52.8,43.4,0.11,-3.8,-4.4,2020-2021,26,26.8,45.7,38,418,"3,420",38.0,49,26,75,39,10,12,58,3,52.8,43.4,32.1,75.5,538,1301,1.29,0.68,1.97,1.03,1.71,1.39,0.84,2.23,1.14,1.99,2020-2021,2020-2021,Ligue-1,3.261923576456662,0.2782651513149098
Angers,30,38.0,619,370,301,253,65,284,659,43.1,375,384,99,285,423,1042,631,9,2021-2022,3,38,38,"3,420",38.0,55,1.45,155,103,67.7,10,11,17,8,21.1,5,5,0,0,0.0,2021-2022,14,38,10,11,17,44,55,-11,41,1.08,46.5,50.0,-3.6,-0.09,"7,758",2021-2022,30,38.0,15307,18797,81.4,281097,99557,6193,7006,88.4,6960,7916,87.9,1724,2880,59.9,25,28.4,25.6,-3.4,277,1029,186,56,1349,2021-2022,30,38.0,41,384,123,32.0,10.11,3.24,0.08,0.26,18.2,18,9,9,46.5,39.5,0.11,-5.5,-7.5,2021-2022,30,27.4,48.4,38,418,"3,420",38.0,41,25,66,32,9,9,70,4,46.5,39.5,28.4,67.9,659,1349,1.08,0.66,1.74,0.84,1.5,1.22,0.75,1.97,1.04,1.79,2021-2022,2021-2022,Ligue-1,3.418752516907937,0.0
Bordeaux,39,38.0,642,377,321,243,78,323,741,43.6,418,357,104,253,454,1096,688,19,2021-2022,2,38,38,"3,420",38.0,91,2.39,194,104,56.7,6,13,19,2,5.3,9,7,2,0,22.2,2021-2022,20,38,6,13,19,52,91,-39,31,0.82,44.9,66.8,-21.9,-0.58,"22,141",2021-2022,39,38.0,13552,17385,78.0,253745,96071,5738,6654,86.2,5627,6682,84.2,1815,3091,58.7,39,33.9,29.0,5.1,326,952,221,59,1271,2021-2022,39,38.0,50,446,145,32.5,11.74,3.82,0.11,0.33,19.2,16,2,4,44.9,41.9,0.1,5.1,6.1,2021-2022,39,25.7,47.4,38,418,"3,420",38.0,50,39,89,48,2,4,91,5,44.9,41.9,33.9,75.8,609,1271,1.32,1.03,2.34,1.26,2.29,1.18,0.89,2.07,1.1,2.0,2021-2022,2021-2022,Ligue-1,2.989790749705645,0.46163602225292355
Brest,25,38.0,682,400,342,249,91,310,655,47.3,345,369,108,261,469,1151,707,4,2021-2022,1,38,38,"3,420",38.0,57,1.5,170,115,68.8,13,9,16,7,18.4,4,4,0,0,0.0,2021-2022,11,38,13,9,16,49,57,-8,48,1.26,43.4,56.3,-12.8,-0.34,"11,804",2021-2022,25,38.0,12684,16506,76.8,242103,96714,5325,6290,84.7,5126,6166,83.1,1852,3141,59.0,32,28.7,28.4,3.3,305,1087,252,88,1349,2021-2022,25,38.0,48,394,138,35.0,10.37,3.63,0.1,0.3,17.4,12,7,8,43.4,37.0,0.1,4.6,4.0,2021-2022,25,25.4,43.9,38,418,"3,420",38.0,48,32,80,41,7,8,59,2,43.4,37.0,28.7,65.7,666,1349,1.26,0.84,2.11,1.08,1.92,1.14,0.76,1.9,0.97,1.73,2021-2022,2021-2022,Ligue-1,3.53746452687383,0.0
Clermont Foot,28,38.0,622,361,285,262,75,291,665,43.8,374,372,99,273,386,1008,527,9,2021-2022,2,38,38,"3,420",38.0,69,1.82,165,99,61.2,9,9,20,8,21.1,5,5,0,0,0.0,2021-2022,17,38,9,9,20,38,69,-31,36,0.95,44.4,52.4,-8.0,-0.21,"10,569",2021-2022,28,38.0,15713,19560,80.3,268742,97045,7638,8645,88.4,5961,6974,85.5,1598,2805,57.0,25,32.6,33.1,-7.6,326,1066,263,102,1370,2021-2022,28,38.0,36,436,134,30.7,11.47,3.53,0.08,0.25,17.7,10,2,3,44.4,41.9,0.1,-8.4,-7.9,2021-2022,28,26.9,50.0,38,418,"3,420",38.0,36,25,61,34,2,3,65,8,44.4,41.9,32.6,74.4,617,1370,0.95,0.66,1.61,0.89,1.55,1.17,0.86,2.03,1.1,1.96,2021-2022,2021-2022,Ligue-1,3.1285365264742047,0.0
Lens,28,38.0,591,359,273,243,75,266,602,44.2,336,360,99,261,455,1046,616,7,2021-2022,2,38,38,"3,418",38.0,48,1.26,145,96,69.7,17,11,10,8,21.1,5,4,1,0,20.0,2021-2022,7,38,17,11,10,62,48,14,62,1.63,50.2,42.7,7.5,0.2,"28,950",2021-2022,28,38.0,16573,20178,82.1,283832,99071,7613,8583,88.7,6900,7932,87.0,1477,2498,59.1,39,34.9,32.7,4.1,383,1263,281,70,1692,2021-2022,28,38.0,60,511,183,35.8,13.45,4.82,0.11,0.3,18.6,14,5,5,50.2,46.4,0.09,9.8,8.6,2021-2022,28,26.1,50.7,38,418,"3,420",38.0,60,39,99,55,5,5,73,7,50.2,46.4,34.9,81.3,763,1692,1.58,1.03,2.61,1.45,2.47,1.32,0.92,2.24,1.22,2.14,2021-2022,2021-2022,Ligue-1,3.473573815330711,0.3218875824868201
Lille,26,38.0,653,359,310,274,69,305,619,49.3,314,351,111,240,377,1030,672,6,2021-2022,2,38,38,"3,420",38.0,48,1.26,151,105,72.2,14,13,11,10,26.3,6,6,0,0,0.0,2021-2022,10,38,14,13,11,48,48,0,55,1.45,50.5,39.9,10.6,0.28,"34,346",2021-2022,26,38.0,15086,18926,79.7,265491,93760,6923,7842,88.3,5970,6972,85.6,1658,2862,57.9,29,33.7,35.3,-4.7,344,1124,266,61,1487,2021-2022,26,38.0,45,461,150,32.5,12.13,3.95,0.09,0.27,17.4,15,4,5,50.5,46.6,0.1,-5.5,-5.6,2021-2022,26,26.1,50.8,38,418,"3,420",38.0,45,29,74,41,4,5,98,6,50.5,46.6,33.7,80.4,725,1487,1.18,0.76,1.95,1.08,1.84,1.33,0.89,2.22,1.23,2.11,2021-2022,2021-2022,Ligue-1,3.6272417360510114,0.0
