Player,Season,Gls_Contribution,Sh_Contribution,SoT_Contribution,xG_Contribution,G-xG_Contribution,Total_Player_Contribution_att,Pos_x,Team_Att_Score,xAG_Contribution,Ast_Contribution,KP_Contribution,PPA_Contribution,PrgP_Contribution,Total_Player_Contribution_mid,Pos_y,Team_Mid_Score,Age,Tkl_Contribution,TklW_Contribution,Int_Contribution,Squad,Blocks_Contribution,Clr_Contribution,Def 3rd_Contribution,Mid 3rd_Contribution,Att 3rd_Contribution,Total_Player_Contribution_def,Pos,Team_Def_Score,MarketValue,MarketValue.1,Has_DF,Role_Label,Role_Similarity,Role_Name
Adam Masina,2023-2024,20.0,20.52699714734152,21.62247585601403,20.432774065692737,66.29615235134084,65.22955662344287,DF,34.0639151803919,20.0,20.0,20.0,20.0,20.31836695179548,20.051029444356825,DF,34.624904833554695,29.0,22.229952725002228,20.0,21.97116644823065,Udinese,21.88613827057763,21.458982443702286,21.96521739130433,22.6464427591188,20.0,21.97891619100982,DF,38.32884097035026,1500000.0,1500000.0,True,DF_3,0.9967279955952321,Progressive Defender
Adam Obert,2023-2024,20.0,21.634644997749383,25.13571097730429,20.39443976616751,66.3157894736842,65.26856530757094,DF,39.33251776017856,26.62739322533135,20.0,24.24910522548316,29.660107334525925,30.8554805366946,26.3069914696222,DF,40.22427393082936,20.0,30.63563563563561,29.638554216867448,45.53962264150943,Cagliari,34.36347388090012,34.485407066052204,29.9705882352941,31.10723758999619,24.44444444444442,36.26742011282985,DF,30.084033613445254,3500000.0,3500000.0,True,DF_1,0.9876166586921685,Traditional Balanced Defender
Adam Smith,2023-2024,20.0,20.893646368590257,20.0,20.30270958798901,66.28977448254555,65.21599882851982,DF,54.070353915824256,26.878306878306866,30.66666666666665,29.5964091445091,36.41120507399575,42.038067885398334,33.430031713063656,DF,57.428804285098806,32.0,38.037518037518005,38.9244784014105,38.95798319327732,Bournemouth,42.89562289562288,41.877950690680166,40.272425249169416,31.033123460169723,40.8208208208208,44.81609597243565,DF,30.518834399431327,1000000.0,1000000.0,True,DF_1,0.9943014132295557,Traditional Balanced Defender
Adam Webster,2023-2024,20.0,23.47153436158672,20.0,21.19165253299903,66.32175761871012,65.26853366159135,DF,53.60418947052132,20.51510989010988,20.0,22.723785400950742,22.616279069767423,34.62341684202168,23.62036406059717,DF,66.8789556631419,28.0,27.34430082256169,31.060635986569217,37.90476190476189,Brighton,35.08910616462104,40.558344987810536,29.28767123287671,25.59218559218558,22.88888888888889,34.509027015964975,DF,32.9032258064516,20000000.0,20000000.0,True,DF_2,0.9929065421324172,Ball Winning Defender
Adrien Truffert,2023-2024,22.88164665523155,30.11923093844866,29.69351817159983,25.41741848335157,73.01204819277108,72.04637933037277,DF,52.709634494451954,32.12938005390834,34.3448275862069,32.65046997330461,37.7671427503178,39.45476535938271,36.179271379271526,DF,52.58514516500263,21.0,45.04881307162675,42.77921977298261,38.66898954703831,Rennes,54.43600424732497,42.85833594320909,49.87356321839078,34.834008097165984,43.11111111111112,50.7422370932258,DF,44.01656314699793,18000000.0,18000000.0,True,DF_1,0.9956852069314907,Traditional Balanced Defender
Adrià Altimira,2023-2024,20.0,20.521293715010977,20.0,20.0,66.26506024096385,65.18650564830331,"DF,MF",60.326229261906285,20.52910052910052,20.0,21.28055225973465,23.70446593949371,26.056328445002865,22.154478941995464,"DF,MF",57.51906321121511,22.0,29.38438438438436,26.78576374463369,25.30075187969924,Villarreal,39.21808761186999,26.57707066636293,30.59375,27.97677793904208,23.80116959064328,30.88509466101884,"DF,MF",31.42857142857129,2000000.0,2000000.0,True,DF_1,0.993380078001266,Traditional Balanced Defender
Adrià Pedrosa,2023-2024,23.3201581027668,27.91253211778492,25.43529411764706,22.638090462808552,66.52792990142387,65.55171977667015,DF,43.38033610198956,41.63136547994591,47.73333333333333,37.382703195158456,35.807448365587895,34.0166896248827,41.62622251366821,DF,48.77928169568211,25.0,42.29632789173675,38.944026646542966,35.445002282062966,Sevilla,47.12696586114305,40.16570760010505,44.97894736842102,36.64913988964622,34.44444444444444,45.75593081408165,DF,37.63668430335096,6000000.0,6000000.0,True,DF_3,0.9954727701765411,Progressive Defender
Adryelson,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,"DF,FW",47.7801386474363,20.0,20.0,20.0,20.0,20.0,20.0,"DF,FW",54.162946610557,25.0,20.0,20.0,21.06015037593984,Lyon,20.0,21.53620744693912,20.0,20.0,20.0,20.45428801108499,"DF,FW",36.969696969696834,3000000.0,3000000.0,True,DF_3,0.9965440635576991,Progressive Defender
Ahmed Touba,2023-2024,20.0,20.478802577206903,20.0,20.0,66.26506024096385,65.18633693183043,DF,33.54709934968772,20.0,20.0,20.0,20.0,20.550077810202826,20.0881692174686,DF,41.95364671385828,25.0,23.35045789591243,23.608014947490496,27.32467532467532,Lecce,23.8426220244402,27.67762798603398,23.56842105263155,23.35531135531136,20.0,25.36232905937272,DF,37.63668430335096,1600000.0,1600000.0,True,DF_1,0.9941880769356014,Traditional Balanced Defender
Aiham Ousou,2023-2024,20.0,21.219431373848497,20.0,20.940081442699235,66.28258488499452,65.21766931454113,DF,26.040392333612346,20.0,20.0,20.0,22.293724115960497,22.23952524399692,20.83523710006268,DF,33.04074225459147,23.0,24.02787288033189,24.238057758672863,27.570469798657705,Cádiz,20.93029618988986,25.501811657930823,26.01775147928993,22.13519813519812,20.0,24.98899848986614,DF,36.969696969696834,1800000.0,1800000.0,True,DF_1,0.9937363437403047,Traditional Balanced Defender
Aihen Muñoz,2023-2024,20.0,23.68898003139068,22.9579831932773,21.13061019834652,66.17178390983287,65.13280361491861,DF,44.45689266628034,33.959981386691474,31.555555555555543,28.76377952755905,31.230856494611444,28.974165462987465,32.02100049907538,DF,43.91794244101935,25.0,38.71101871101868,37.49219098616688,31.46470920383961,Real Sociedad,36.28133183688736,33.72833004169409,45.018450184501816,29.889338731443992,38.43971631205672,41.22522154825731,DF,51.74603174603168,8000000.0,8000000.0,True,DF_3,0.9934227199406469,Progressive Defender
Ainsley Maitland-Niles,2023-2024,23.181818181818176,29.32628892413744,26.470588235294105,30.193654197943594,67.33601070950468,66.43484412466215,"DF,MF",47.7801386474363,32.396694214876014,46.0,32.557057233517426,32.938689217758984,35.45512367491166,37.50212396750092,"DF,MF",54.162946610557,25.0,41.35034662915703,38.34528446110724,38.02255639097743,Lyon,39.22431310186413,34.85000532041154,36.879668049792514,39.43766578249337,44.58628841607565,45.0662969663381,"DF,MF",36.969696969696834,9000000.0,9000000.0,True,DF_3,0.9939169881792917,Progressive Defender
Aitor Paredes,2023-2024,22.58859784283512,27.36185097967488,24.00144352219415,23.85308523003864,66.2344616561484,65.26245531545929,DF,55.66801880110746,21.15830115830116,20.0,22.633248308750133,24.39351820462402,41.6240370476044,25.247822510453613,DF,56.363198748916886,23.0,31.62952970181885,30.250948545563467,58.25693730729702,Athletic Club,42.62240543863456,67.51612172909653,37.18433179723501,29.608391608391585,20.0,45.72455662496392,DF,54.49163449163446,22000000.0,22000000.0,True,DF_2,0.9857735672939156,Ball Winning Defender
Aitor Ruibal,2023-2024,26.6403162055336,26.40263814387734,22.89882352941176,23.083638445300465,66.81583476764199,65.8464020236651,"DF,FW",42.70212263644753,28.51900393184795,26.70967741935484,26.98562136254705,30.753147002346903,32.19294610387858,29.501701928698573,"DF,FW",51.97035996833424,27.0,42.45742852679267,40.700985761226704,33.078260869565206,Betis,31.719086600603163,31.877319249555548,51.12131147540981,32.213333333333324,36.60280970625796,42.70154943321958,"DF,FW",44.97354497354495,3500000.0,3500000.0,True,DF_1,0.991094796294299,Traditional Balanced Defender
Alan Matturro,2023-2024,20.0,20.606644071372987,20.0,20.47399064337776,66.25185674203664,65.17950827141253,DF,35.52593737256669,20.0,20.0,20.0,20.0,21.2061947163484,20.1933349105938,DF,33.4792084366575,18.0,20.54054054054054,20.95837897042713,21.941480206540422,Genoa,25.35222353404168,21.44871824560591,21.07619047619045,20.0,20.0,21.66847200130623,DF,44.97354497354495,4000000.0,4000000.0,True,DF_3,0.9974374366865142,Progressive Defender
Alberto Dossena,2023-2024,27.450110864745003,33.0771599819952,30.2714219546086,28.67767485568531,66.36651870640456,65.53267361848151,DF,39.33251776017856,35.463917525773184,47.73333333333333,28.49821045096634,23.86404293381036,46.111831561238425,37.60127963352664,DF,40.22427393082936,24.0,54.40940940940939,57.483266398929054,74.72776280323447,Cagliari,75.24413031115444,80.76804915514593,73.59191176470587,36.660856384994304,20.0,69.80408610814779,DF,30.084033613445254,5000000.0,5000000.0,True,DF_2,0.9905997710410865,Ball Winning Defender
Alberto Moreno,2023-2024,24.77272727272728,28.86199315518688,26.66907253699024,22.130400391728493,66.41422834193918,65.45223656461147,DF,60.326229261906285,28.46560846560845,28.85106382978724,30.244418077877235,37.04054332167112,31.486140154315795,31.945085054105512,DF,57.51906321121511,31.0,38.18224474474473,40.35729123390112,45.44360902255639,Villarreal,32.81205840791333,32.05796288833207,42.36458333333333,33.29462989840348,27.602339181286546,41.37437875219125,DF,31.42857142857129,1800000.0,1800000.0,True,DF_3,0.9911703220590979,Progressive Defender
Alejandro Balde,2023-2024,20.0,22.04793959468604,20.992747784045125,20.21806012846116,66.32530120481927,65.25925988214489,DF,81.70626488957568,24.479840716774508,23.781818181818167,26.647943624114813,32.40310077519379,26.92998026708274,27.20823001284248,DF,78.49661710218801,19.0,31.833199223742128,30.22270901788974,26.270150083379644,Barcelona,35.89448201018447,30.565782806958264,33.760147601476,27.58330458778888,31.25541125541124,34.045941972195585,DF,45.97402597402594,40000000.0,40000000.0,True,DF_3,0.9973102002246188,Progressive Defender
Aleksandar Sedlar,2023-2024,24.62809917355372,22.10338599419281,21.598615916955,21.09879649146664,66.2139466958744,65.19134374360691,DF,37.26439593930418,20.66137566137565,20.0,21.370679104994554,20.0,26.714005272309148,21.54299490263812,DF,45.05744129232279,31.0,28.18292340783689,29.721884656782727,35.0168970814132,Alavés,29.08256114867683,35.30454571314786,31.936619718309856,24.96645205015248,20.0,31.99716851940464,DF,44.01656314699793,400000.0,400000.0,True,DF_1,0.9937665693684359,Traditional Balanced Defender
Alessandro Bastoni,2023-2024,21.755485893416925,26.22856111211409,26.655462184873933,22.596644394156463,66.24315443592552,65.25939900425172,DF,88.03425407250015,33.103802672147985,30.4,31.68503937007874,40.11601298493959,48.52017624220216,37.15266316788372,DF,74.19843063048502,24.0,48.77877877877874,54.68077919153249,46.47346938775509,Inter,48.2274802822748,44.02457757296466,61.70238095238094,35.4436248682824,32.56038647342995,53.90774813832765,DF,90.99567099567088,70000000.0,70000000.0,True,DF_1,0.9935392151507847,Traditional Balanced Defender
Alessandro Buongiorno,2023-2024,33.090909090909086,27.247430676750028,30.7807486631016,27.18152401849819,65.7652833556448,64.92971883842785,DF,32.57613804648767,20.71191267204556,20.0,22.76568979173461,23.626899504659537,35.13353603418521,23.969224794045992,DF,45.102177548001286,24.0,70.20944511390368,67.84227820372399,87.59183673469387,Torino,47.20272027202721,83.5801951930984,90.42028985507244,51.757313109425766,36.99346405228758,81.46063569303034,DF,55.97883597883584,35000000.0,35000000.0,True,DF_2,0.9656500296888868,Ball Winning Defender
Alessandro Dellavalle,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,DF,32.57613804648767,20.0,20.0,20.0,20.0,20.244089290873948,20.039123850062023,DF,45.102177548001286,19.0,20.0,20.0,20.97959183673468,Torino,21.36013601360136,20.0,20.0,20.0,20.0,20.33419487509446,DF,55.97883597883584,800000.0,800000.0,True,DF_3,0.9977306013808803,Progressive Defender
Alessandro Di Pardo,2023-2024,20.0,21.634644997749383,20.0,20.39443976616751,66.3157894736842,65.24597609328299,"DF,MF",39.33251776017856,21.472754050073625,20.0,23.54092102123597,26.76207513416816,23.22730502442271,23.070000185602147,"DF,MF",40.22427393082936,24.0,22.5025025025025,21.070950468540804,26.08086253369269,Cagliari,29.94394345600778,22.47311827956989,23.738970588235265,20.0,24.44444444444442,24.66888496848488,"DF,MF",30.084033613445254,900000.0,900000.0,True,DF_3,0.9955174690577536,Progressive Defender
Alessandro Florenzi,2023-2024,22.00956937799043,33.91120267639442,30.76295864880606,24.345391562930025,66.19621342512907,65.28294098975672,DF,73.97463138239651,35.83850931677017,34.857142857142854,44.457059146676414,38.57712948947295,41.98172633646149,40.41839047165466,DF,63.55141833700728,32.0,45.22053303303301,41.27428633452728,45.57823129251699,Milan,37.96713731318636,33.15214100709743,52.16788321167883,34.57824933687,40.63492063492063,47.63982617966538,DF,41.37998056365401,2000000.0,2000000.0,True,DF_3,0.9939729367652618,Progressive Defender
Alessandro Vogliacco,2023-2024,20.0,23.033220356864955,20.0,21.895962573511063,66.21224624525499,65.16713448747618,DF,35.52593737256669,24.69924812030075,27.70370370370369,30.127034120734898,33.515486494942124,34.77588527526797,30.50991245408316,DF,33.4792084366575,24.0,32.432432432432435,34.37568455640743,49.12220309810671,Genoa,34.272596090777895,34.48718245605909,35.06666666666665,29.12862036748676,24.585537918871232,38.31077233095347,DF,44.97354497354495,2000000.0,2000000.0,True,DF_1,0.9867053532867716,Traditional Balanced Defender
Alessandro Zanoli,2023-2024,20.0,21.815359520113645,21.84247258225324,21.11692844677138,66.15166548547128,65.10022080290831,DF,25.942523555040456,37.219387755102034,36.64,29.046482092964176,28.493427704752264,28.14154485485208,33.45031592294369,DF,33.56534257236436,22.0,30.08471157724888,33.411443940901194,21.15514592933948,Salernitana,30.076313254797345,26.00614439324116,30.55709342560553,29.96425796425795,20.0,29.75034644147601,DF,25.40858318636084,5000000.0,5000000.0,True,DF_3,0.9870515206723661,Progressive Defender
Alessio Romagnoli,2023-2024,20.0,26.07618041212353,28.05228758169934,22.183414963688563,67.42168674698794,66.41707124643442,DF,44.465477646856826,23.90794615718628,20.0,24.23626804957536,23.974094789520144,38.5257062512719,25.69104114012391,DF,50.71058707678138,28.0,34.536912127273546,37.449106771915226,51.682324455205816,Lazio,47.79422128259335,71.80299539170507,38.32432432432431,32.20593579648697,20.0,48.33604796292119,DF,51.74603174603168,15000000.0,15000000.0,True,DF_2,0.9914237143189469,Ball Winning Defender
Alessio Zerbin,2023-2024,20.0,23.204049175189496,23.5351506456241,21.713566174034064,66.52208835341365,65.48805292497042,"DF,FW",35.41175713089949,26.16649537512845,27.17241379310344,28.0586478414336,32.007782822199566,25.214279242547786,28.42657346003476,"DF,FW",42.08497153371655,24.0,30.76297536474528,30.10028136498087,23.46543778801843,Monza,37.44428411095077,22.24528762364153,34.355048859934826,22.89072978303746,33.75661375661375,31.749197963119848,"DF,FW",39.79458450046688,4000000.0,4000000.0,True,DF_3,0.9927461905727438,Progressive Defender
Alex Murphy,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,"DF,FW",84.38907131972613,20.0,20.0,20.0,20.0,20.20897304093445,20.03349524221752,"DF,FW",67.59282654935198,19.0,20.51110111624483,20.862786183095537,21.130827067669152,Newcastle Utd,20.82921773062616,20.0,20.0,21.10963052695335,20.0,20.71312072197727,"DF,FW",32.9032258064516,250000.0,250000.0,True,DF_3,0.9973756575157148,Progressive Defender
Alex Sandro,2023-2024,22.937062937062933,22.2677749184094,21.48912167606768,21.239667836526472,66.04263206672844,65.01226599526102,DF,53.188676410619614,24.870129870129865,20.0,22.802167714647176,25.93966059082337,29.498271597830417,24.566356558173347,DF,56.49637721740517,32.0,27.611597732914863,26.39958206810984,39.10784867306606,Juventus,34.286868686868665,29.145908151914803,28.78888888888888,27.25784087157476,20.0,31.53669464676215,DF,64.85407066052221,4500000.0,4500000.0,True,DF_1,0.9888621279942823,Traditional Balanced Defender
Alfie Doughty,2023-2024,26.233766233766225,34.66459040916168,32.979806848112375,25.18818532055713,66.36728733114275,65.50173556824032,DF,43.29963728457064,65.76271186440678,70.42424242424244,71.93350831146105,63.2,50.987716641426886,69.30687643608731,DF,39.131181356850384,23.0,52.54401190181007,56.66841278156102,50.74109890109888,Luton Town,62.63322884012537,33.5334956633731,49.79090909090907,41.49674054758799,72.52525252525253,62.00048639926969,DF,24.25770308123244,10000000.0,10000000.0,True,DF_3,0.9789564164640376,Progressive Defender
Alfie Gilchrist,2023-2024,22.00956937799043,22.242436651164592,21.12067919951485,20.681401314171246,66.714859437751,65.66537157755327,DF,79.60380314639538,20.0,20.0,20.0,20.713530655391097,21.410276887396208,20.374205572419765,DF,66.72130917713565,19.0,22.038237332354967,20.0,23.244487056567586,Chelsea,25.519480519480503,24.03980157914817,24.17230769230769,20.0,20.0,22.94212521406593,DF,32.39606953892656,5000000.0,5000000.0,True,DF_3,0.9964711644657812,Progressive Defender
Alfonso Espino,2023-2024,20.0,28.90159863250802,26.794117647058822,24.00034656467762,66.3375305734215,65.36953731651623,DF,32.4662502951087,44.39024390243903,37.33333333333333,40.83956066001302,44.62380300957592,47.540768385807496,44.459845247834686,DF,40.25958740397104,31.0,55.92878592878591,60.80839486980177,61.85528756957327,Rayo Vallecano,46.13451589061343,42.81731236829306,72.24731182795698,41.98799781778504,28.37359098228664,60.10801067179445,DF,42.22222222222218,2400000.0,2400000.0,True,DF_1,0.9846937464046839,Traditional Balanced Defender
Alfonso Pedraza,2023-2024,22.38636363636364,24.691643435098914,25.335258029592183,21.826057478624428,66.31095811818703,65.3087822274205,DF,60.326229261906285,39.04761904761903,33.27659574468085,32.80552259734657,37.78143650956986,26.474006268796163,35.552116909061965,DF,57.51906321121511,27.0,34.66310060060057,28.724553385957613,33.781954887218035,Villarreal,37.08274454388443,26.942463481160868,41.1875,26.647314949201725,27.602339181286546,35.2848158960237,DF,31.42857142857129,5000000.0,5000000.0,True,DF_3,0.990776937950236,Progressive Defender
Alidu Seidu,2023-2024,20.0,21.011923093844867,20.0,20.637343350982533,68.19277108433734,67.10890689970536,DF,52.709634494451954,20.67385444743935,20.0,21.99744262736388,23.230389590966865,24.565914319038782,22.01235866583085,DF,52.58514516500263,23.0,33.487822423183616,29.762522759849663,29.82578397212541,Rennes,32.219227313566925,26.064456474728942,42.08045977011493,24.45020242914979,23.85185185185184,32.87750841947574,DF,44.01656314699793,9000000.0,9000000.0,True,DF_1,0.9941359726062173,Traditional Balanced Defender
Alphonso Davies,2023-2024,23.284457478005866,24.94611382678676,23.797585409709725,21.986087554998395,66.3886314488724,65.38692938360653,DF,96.0114180241667,29.4298721005853,34.647887323943664,37.08879275466059,37.00010155377271,39.6127820164827,36.4547637657491,DF,87.8742932335431,22.0,50.53534303534301,45.06620910888134,49.09523809523808,Bayern Munich,52.70803270803269,49.86564823023935,63.30837004405287,39.183246073298406,34.16122004357297,55.99065472571043,DF,44.97354497354495,50000000.0,50000000.0,True,DF_1,0.995266934945377,Traditional Balanced Defender
Amari'i Bell,2023-2024,20.0,21.12804541608936,23.244951712028083,21.197273535513187,66.22124863088717,65.17391880748671,DF,43.29963728457064,23.631961259079887,20.0,25.935258092738383,28.037209302325586,42.21760815800418,27.43844743950201,DF,39.131181356850384,29.0,45.82858087445243,50.25144054478783,44.79120879120879,Luton Town,47.586206896551694,38.8839474372648,50.81818181818181,42.69100391134288,23.282828282828262,49.428328668489954,DF,24.25770308123244,2500000.0,2500000.0,True,DF_1,0.9909488874319431,Traditional Balanced Defender
Ameen Al-Dakhil,2023-2024,23.81818181818182,24.48070132716423,24.76084156290253,25.418203388956226,66.74698795180723,65.78829081231947,DF,37.2343485072865,20.721500721500707,20.0,21.433747161972835,22.325581395348824,29.642663730503287,22.524011777222032,DF,38.9915710116252,21.0,26.67883699185179,24.932008736701167,33.81224489795917,Burnley,31.231815005399906,33.08865874942877,24.80851063829785,27.98754282155092,23.7037037037037,30.81918175444769,DF,26.349206349206334,12000000.0,12000000.0,True,DF_1,0.9910483062371779,Traditional Balanced Defender
Amir Rrahmani,2023-2024,28.48484848484848,29.43721380623348,28.873949579831923,26.06306598222964,66.16085965483555,65.28441943655487,DF,58.877084540596215,24.49550449550448,20.0,26.583120771875336,21.89318686455532,40.91406472983674,26.308489775102032,DF,71.53141046050538,29.0,39.52477871917449,47.93998078202379,46.74570243034973,Napoli,48.17922817922815,69.80142759846802,44.52340425531912,36.64913988964622,25.836139169472503,52.48928413977468,DF,42.22222222222218,15000000.0,15000000.0,True,DF_2,0.9951059925222773,Ball Winning Defender
Amos Pieper,2023-2024,20.0,22.366955246536392,21.73929411764706,21.803994239721355,66.51870640456562,65.47471516436643,DF,44.198484750928245,24.81540930979132,20.0,21.456079672283938,21.82002022244692,26.66288787853206,22.942766922202573,DF,44.32988711655102,25.0,27.83067836047966,30.57220334328767,30.213279678068403,Werder Bremen,31.39505655634686,33.221168804485,28.95049504950495,27.075635661409702,20.0,31.134386055810875,DF,37.63668430335096,4000000.0,4000000.0,True,DF_1,0.9947227324932285,Traditional Balanced Defender
