Player,Season,Gls_Contribution,Sh_Contribution,SoT_Contribution,xG_Contribution,G-xG_Contribution,Total_Player_Contribution_att,Pos_x,Team_Att_Score,xAG_Contribution,Ast_Contribution,KP_Contribution,PPA_Contribution,PrgP_Contribution,Total_Player_Contribution_mid,Pos_y,Team_Mid_Score,Age,Tkl_Contribution,TklW_Contribution,Int_Contribution,Squad,Blocks_Contribution,Clr_Contribution,Def 3rd_Contribution,Mid 3rd_Contribution,Att 3rd_Contribution,Total_Player_Contribution_def,Pos,Team_Def_Score,MarketValue,MarketValue
Abde Ezzalzouli,2023-2024,20.0,21.63835167574881,20.992747784045125,20.43612025692232,66.38554216867469,65.31995949270791,"FW,MF",81.70626488957568,20.3733200597312,20.0,21.022760557556115,21.24031007751936,20.169023908953232,20.6037272220547,"FW,MF",78.49661710218801,21.0,20.59165996118709,20.92933718344452,20.0,Barcelona,21.1353201435846,20.0,20.0,20.0,23.751803751803727,21.06733975800794,"FW,MF",45.97402597402594,9000000.0,9000000.0
Abdel Abqar,2023-2024,20.0,25.25846498548205,24.79584775086504,21.831327485777745,66.30156991602774,65.28472932035478,DF,37.26439593930418,21.32275132275132,20.0,22.05601865749184,21.8400204446716,32.65331762858262,23.1909460797658,DF,45.05744129232279,24.0,40.45730851959223,38.471580847887225,46.56835637480796,Alavés,55.19492445112277,60.93076179097684,53.42253521126759,26.2080650626906,28.62354892205638,50.341290559993325,DF,44.01656314699793,7500000.0,7500000.0
Abdellah Baallal,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,MF,26.57867061575773,20.0,20.0,20.0,20.0,20.0,20.0,MF,34.20587913503008,18.0,20.0,20.0,20.0,Clermont Foot,21.07885134063144,20.0,20.0,20.0,20.0,20.137993258804187,MF,33.96825396825386,50000.0,50000.0
Abdou Harroui,2023-2024,30.41322314049585,36.75392670157067,36.26890756302521,31.45339399620476,66.31860776439089,65.56360345986859,"MF,FW",42.91417165668662,28.51466414380321,41.517241379310335,30.68346456692913,30.80270067516878,29.324358174909,33.58906362903089,"MF,FW",45.79796015706118,25.0,34.257376642697736,31.52435830277632,26.68642560758741,Frosinone,37.83668116242147,22.92314251838352,35.28278688524588,33.77914529914528,23.80116959064328,33.58206533095602,"MF,FW",29.66183574879229,2700000.0,2700000.0
Abdoul Kader Bamba,2023-2024,30.181818181818173,28.9673610337529,28.42681258549932,29.4508187590509,66.27774254914394,65.44661756433506,"FW,MF",29.816925289206527,28.403361344537814,32.23529411764706,29.348031496063,30.920121334681493,28.1146434165603,30.76717171703521,"FW,MF",35.98063145970397,29.0,25.804773846010946,26.70865279299013,23.882960413080884,Nantes,24.86278716367211,21.65449027762165,22.208469055374582,26.4055944055944,35.757575757575744,27.93033220839224,"FW,MF",36.969696969696834,900000.0,900000.0
Abdoul Koné,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,DF,39.87938102290043,24.5045045045045,20.0,21.469816272965872,21.042169256006925,21.14165271836833,21.82367932396102,DF,44.85584676841248,18.0,23.69510135135135,26.02409638554215,21.8847117794486,Reims,22.07096086493071,23.866847060924265,25.594059405940595,22.29143214509068,20.0,24.09647989816066,DF,43.1003039513677,0.0,0.0
Abdoulaye Doucouré,2023-2024,46.72727272727272,42.45907088839025,50.03715170278638,47.5757223191778,66.38898450946643,66.01495150829265,"FW,MF",46.32240894554975,36.31046119235094,32.23529411764706,43.43901702552666,35.918768424500485,47.95481789131378,40.05409730782943,"FW,MF",46.22179590356348,30.0,39.55185333381831,40.60731614239764,33.503591380686345,Everton,39.7887012083254,26.210435018861588,38.27493261455524,35.11818449749484,43.4234234234234,42.0893938643149,"FW,MF",39.79458450046688,10000000.0,10000000.0
Abdoulaye Touré,2023-2024,29.25619834710744,39.59571807450769,35.39198334200936,33.609758151678065,66.48921266461193,65.72930276391914,MF,31.22829609598008,27.622811970638043,20.0,29.67037740972032,28.412150884611087,60.1625618521913,32.197407067857355,MF,34.99382954524767,29.0,48.35424710424709,48.45115401364493,42.19598583234945,Le Havre,54.15369161225512,34.32791072122589,45.45392491467577,49.95466369379411,34.44444444444444,51.684652535102245,MF,44.97354497354495,3000000.0,3000000.0
Abdukodir Khusanov,2023-2024,20.0,22.47266628680777,22.60373370905248,20.625562512701887,66.28624387660531,65.23417769471018,DF,49.081621702830894,20.57603686635944,20.0,20.635056487504272,20.71966415672684,24.608087172970784,21.16995158263215,DF,57.657551563097925,19.0,32.806127427066045,31.941571596118965,34.05944391179291,Lens,33.667285095856506,36.80407611660916,40.6901408450704,28.476576055523424,20.0,35.78701928582006,DF,54.49163449163446,2500000.0,2500000.0
Abdul Mumin,2023-2024,25.26645768025077,22.967199544169333,21.358823529411765,21.60013862587105,66.22157804148925,65.21121789272144,DF,32.4662502951087,22.613240418118465,20.0,22.97708009428757,23.939808481532143,29.26149733328039,23.6029100455833,DF,40.25958740397104,25.0,30.18876018876017,29.06853219328928,43.0204081632653,Rayo Vallecano,47.13968957871394,49.69872403492114,35.79569892473117,23.997817785051808,28.37359098228664,40.40550605551189,DF,42.22222222222218,2500000.0,2500000.0
Abdón Prats,2023-2024,47.76859504132232,39.150949347126726,43.23484508307138,33.3700471850559,65.90522088353413,65.33519771772247,"FW,MF",33.39857918571459,36.69758812615955,27.70370370370369,30.62276306370793,28.55022266204848,27.20583189361971,31.296285075926725,"FW,MF",39.40128930488396,30.0,22.95484989362537,23.477828841137725,21.76594911937377,Mallorca,26.70115792067011,24.407056268161654,21.95389048991354,22.00602244730358,29.96168582375477,25.45298019173942,"FW,MF",45.97402597402594,1800000.0,1800000.0
Ablie Jallow,2023-2024,33.090909090909086,32.55902097452862,32.306326304106534,29.89559413367624,67.46987951807228,66.66030440960691,"MF,FW",30.202390917090547,29.23645320197043,36.64,31.9846557641833,36.52386780905752,35.01712421853763,34.932646969379284,"MF,FW",24.063648786184785,24.0,24.809079542175606,25.05014068249044,27.40886699507388,Metz,23.962703962703955,21.03703212545169,22.187096774193545,24.620428751576288,32.56038647342995,26.94390068046905,"MF,FW",35.10673234811163,2000000.0,2000000.0
Abner,2023-2024,20.0,21.97004250580841,20.0,20.385454805662555,66.21916236374067,65.15119263881635,DF,42.70212263644753,26.553079947575345,26.70967741935484,25.08045190003424,25.37657350117344,27.451244841259133,26.7216602513998,DF,51.97035996833424,23.0,32.20512419934385,34.567360350492855,34.01242236024844,Betis,42.46158265115609,42.31496343855892,36.672131147540966,28.455384615384617,23.32056194125159,38.20550075860355,DF,44.97354497354495,7000000.0,7000000.0
Achraf Dari,2023-2024,20.0,20.50070207138268,21.31764705882352,20.0,66.26506024096385,65.19221950315551,"DF,FW",48.37765329555941,20.0,20.0,20.0,20.0,21.856610697489195,20.297586830999585,"DF,FW",48.57444837788167,24.0,20.497552043943784,20.790045427612068,25.02002670226968,Brest,22.135343067985527,24.028966425279787,21.149152542372857,20.0,20.0,22.21066036511065,"DF,FW",59.215686274509714,2000000.0,2000000.0
Achraf Hakimi,2023-2024,27.83216783216782,40.0698080279232,33.951557093425606,30.3299646901254,66.24410686223153,65.47732011929588,DF,76.81454295709655,41.59468438538206,37.04918032786883,43.64502084298286,50.96527556546671,57.03962579228519,47.173569574518936,DF,71.98834475948064,24.0,36.74751674751673,37.80455153949127,34.430703624733454,Paris S-G,53.35084953582061,35.85905317193738,38.68503937007871,31.47789766794289,35.757575757575744,42.84856928064431,DF,60.98124098124099,60000000.0,60000000.0
Adam Lallana,2023-2024,20.0,24.773359747181733,22.19607843137255,22.38330506599808,66.37845499645641,65.35367579319143,"MF,FW",53.60418947052132,28.75686813186813,25.777777777777764,28.17135620285225,30.46511627906976,27.12891571048555,28.71904629159944,"MF,FW",66.8789556631419,35.0,24.19674332717811,22.765158996642302,23.35714285714284,Brighton,21.88613827057763,20.478101046228137,24.64383561643836,24.47374847374845,20.0,23.523493309646653,"MF,FW",32.9032258064516,1000000.0,1000000.0
Adam Masina,2023-2024,20.0,20.52699714734152,21.62247585601403,20.432774065692737,66.29615235134084,65.22955662344287,DF,34.0639151803919,20.0,20.0,20.0,20.0,20.31836695179548,20.051029444356825,DF,34.624904833554695,29.0,22.229952725002228,20.0,21.97116644823065,Udinese,21.88613827057763,21.458982443702286,21.96521739130433,22.6464427591188,20.0,21.97891619100982,DF,38.32884097035026,1500000.0,1500000.0
Adam Obert,2023-2024,20.0,21.634644997749383,25.13571097730429,20.39443976616751,66.3157894736842,65.26856530757094,DF,39.33251776017856,26.62739322533135,20.0,24.24910522548316,29.660107334525925,30.8554805366946,26.3069914696222,DF,40.22427393082936,20.0,30.63563563563561,29.638554216867448,45.53962264150943,Cagliari,34.36347388090012,34.485407066052204,29.9705882352941,31.10723758999619,24.44444444444442,36.26742011282985,DF,30.084033613445254,3500000.0,3500000.0
Adam Ounas,2023-2024,23.05454545454545,24.94871978770708,23.95294117647057,22.08906987266497,66.54044750430292,65.53804468107195,FW,48.04283905307664,31.699507389162545,20.0,29.3768834451249,29.90247561890472,24.432847748432977,27.70660119764434,FW,48.41711716839077,26.0,22.275002275002265,22.73526538586779,26.62230919765165,Lille,22.58383205091668,20.50225597713513,22.539325842696613,22.32930705657977,20.0,23.118363452553982,FW,59.215686274509714,4000000.0,4000000.0
Adam Smith,2023-2024,20.0,20.893646368590257,20.0,20.30270958798901,66.28977448254555,65.21599882851982,DF,54.070353915824256,26.878306878306866,30.66666666666665,29.5964091445091,36.41120507399575,42.038067885398334,33.430031713063656,DF,57.428804285098806,32.0,38.037518037518005,38.9244784014105,38.95798319327732,Bournemouth,42.89562289562288,41.877950690680166,40.272425249169416,31.033123460169723,40.8208208208208,44.81609597243565,DF,30.518834399431327,1000000.0,1000000.0
Adam Webster,2023-2024,20.0,23.47153436158672,20.0,21.19165253299903,66.32175761871012,65.26853366159135,DF,53.60418947052132,20.51510989010988,20.0,22.723785400950742,22.616279069767423,34.62341684202168,23.62036406059717,DF,66.8789556631419,28.0,27.34430082256169,31.060635986569217,37.90476190476189,Brighton,35.08910616462104,40.558344987810536,29.28767123287671,25.59218559218558,22.88888888888889,34.509027015964975,DF,32.9032258064516,20000000.0,20000000.0
Adam Wharton,2023-2024,20.0,25.328267618032704,21.34204793028321,21.04453493633249,66.22598502116574,65.18494926930512,MF,51.27250874594896,33.28903654485048,34.51162790697674,33.90287970377638,34.72016355737286,41.8574072738636,36.535235945419245,MF,47.32343181641134,19.0,40.57895458910686,43.26547569588699,39.95577178239716,Crystal Palace,35.36416799574692,27.46394643043561,36.35924932975868,40.60005111167901,40.27290448343079,43.536117702809314,MF,35.10673234811163,30000000.0,30000000.0
Adama Bojang,2023-2024,20.0,22.34391918574285,21.725490196078425,24.94334960880052,66.54350736278447,65.53562673203697,FW,39.87938102290043,20.0,20.0,20.734908136482936,20.0,20.228330543673668,20.20059824911675,FW,44.85584676841248,19.0,21.05574324324324,20.86058519793457,20.9423558897243,Reims,22.07096086493071,20.0,21.11881188118812,20.0,23.17460317460315,21.47146698308083,FW,43.1003039513677,500000.0,500000.0
Adama Traoré,2023-2024,25.65656565656565,25.309047414200126,28.696470588235297,24.99649585686606,66.4156626506024,65.48599429727419,"FW,MF",51.68802180585066,23.98936170212765,35.6,24.316373382087125,26.367507369800187,23.548695566298345,27.73652312880084,"FW,MF",56.55026910332431,27.0,21.99020817577517,22.6355421686747,20.868694647670385,Fulham,21.88613827057763,20.774986373321426,20.99999999999999,22.16804733727808,23.61111111111111,22.467300624959456,"FW,MF",33.42701014832161,9000000.0,9000000.0
Adel Mahamoud,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,FW,29.816925289206527,20.0,20.0,20.0,20.0,20.52352538171354,20.08391326167768,FW,35.98063145970397,20.0,20.0,20.0,20.0,Nantes,20.0,20.0,20.0,20.0,20.0,20.0,FW,36.969696969696834,100000.0,100000.0
Ademola Lookman,2023-2024,43.333333333333336,49.93715334777414,46.486712451478056,46.64106233808583,66.39402681147124,66.00586113972786,"FW,MF",66.12452514326185,45.38236251220306,45.5438596491228,46.73922052649596,41.09503753891228,37.993722576564,45.81352215372691,"FW,MF",67.80987554166101,25.0,31.022441691283444,33.71339014594964,28.531092436974788,Atalanta,36.21180751615534,20.0,22.483516483516475,32.45103490886623,42.22222222222221,34.101404517307095,"FW,MF",48.11791383219955,40000000.0,40000000.0
Adnan Januzaj,2023-2024,20.0,22.967199544169333,21.358823529411765,22.26122039669304,65.73932092004381,64.70661836649413,"FW,MF",43.38033610198956,20.0,20.0,21.287607644085803,20.87819157586597,22.06803617416301,20.80116448494537,"FW,MF",48.77928169568211,28.0,21.45410834076544,22.18584922844724,21.029666818804188,Sevilla,22.08668968162639,20.0,21.78421052631577,20.0,23.61111111111111,21.94011652373285,"FW,MF",37.63668430335096,2000000.0,2000000.0
Adrian Beck,2023-2024,23.3201581027668,27.372582540869733,25.72136222910217,27.301140138730165,66.16283315078495,65.24343778535024,"MF,FW",39.65016204150838,26.23376623376621,26.11764705882352,29.21400953913018,26.247830614369995,29.598941726667825,27.943094532963,"MF,FW",31.951732181587246,26.0,32.36677609389753,32.458926615553096,24.26868495742665,Heidenheim,35.131880358662215,25.52289139608381,28.72025723472666,35.031794871794865,28.88888888888887,33.30922762808564,"MF,FW",36.969696969696834,1500000.0,1500000.0
Adrien Lebeau,2023-2024,20.0,21.001404142765384,20.0,20.3503409103227,66.22936189201249,65.1570945474752,"MF,FW",48.37765329555941,23.114617940199327,26.303030303030305,22.61849621738457,20.0,20.0,22.922728189967327,"MF,FW",48.57444837788167,24.0,20.0,20.0,20.0,Brest,22.135343067985527,20.4476629361422,20.0,20.0,20.0,20.354979697892844,"MF,FW",59.215686274509714,300000.0,300000.0
Adrien Rabiot,2023-2024,34.68531468531468,37.23508937991144,43.825946817083,30.847093569606656,65.70898980537534,65.02347446114551,MF,53.188676410619614,42.18614718614718,36.864864864864856,34.571272116165325,39.51602765556254,46.5068044590617,41.18082395895184,MF,56.49637721740517,28.0,53.95943603915871,55.6548143794691,51.84641445511009,Juventus,48.573737373737366,33.52003813761321,47.62222222222219,56.28920435787387,43.4234234234234,57.56216483756528,MF,64.85407066052221,35000000.0,35000000.0
Adrien Thomasson,2023-2024,23.39393939393939,35.33053097820827,27.81120112715744,31.88568774133608,66.56163113994438,65.73678778222782,MF,49.081621702830894,42.46543778801842,34.3448275862069,39.05169462512836,30.7949623509029,33.623909902696305,37.74098552773802,MF,57.657551563097925,29.0,35.24538979412625,33.93183352880548,29.73346116970275,Lens,34.71861471861472,25.25127378644036,26.36619718309856,36.95315211104685,39.25925925925924,36.66541455435166,MF,54.49163449163446,5000000.0,5000000.0
Adrien Truffert,2023-2024,22.88164665523155,30.11923093844866,29.69351817159983,25.41741848335157,73.01204819277108,72.04637933037277,DF,52.709634494451954,32.12938005390834,34.3448275862069,32.65046997330461,37.7671427503178,39.45476535938271,36.179271379271526,DF,52.58514516500263,21.0,45.04881307162675,42.77921977298261,38.66898954703831,Rennes,54.43600424732497,42.85833594320909,49.87356321839078,34.834008097165984,43.11111111111112,50.7422370932258,DF,44.01656314699793,18000000.0,18000000.0
Adrià Altimira,2023-2024,20.0,20.521293715010977,20.0,20.0,66.26506024096385,65.18650564830331,"DF,MF",60.326229261906285,20.52910052910052,20.0,21.28055225973465,23.70446593949371,26.056328445002865,22.154478941995464,"DF,MF",57.51906321121511,22.0,29.38438438438436,26.78576374463369,25.30075187969924,Villarreal,39.21808761186999,26.57707066636293,30.59375,27.97677793904208,23.80116959064328,30.88509466101884,"DF,MF",31.42857142857129,2000000.0,2000000.0
Adrià Pedrosa,2023-2024,23.3201581027668,27.91253211778492,25.43529411764706,22.638090462808552,66.52792990142387,65.55171977667015,DF,43.38033610198956,41.63136547994591,47.73333333333333,37.382703195158456,35.807448365587895,34.0166896248827,41.62622251366821,DF,48.77928169568211,25.0,42.29632789173675,38.944026646542966,35.445002282062966,Sevilla,47.12696586114305,40.16570760010505,44.97894736842102,36.64913988964622,34.44444444444444,45.75593081408165,DF,37.63668430335096,6000000.0,6000000.0
Adryelson,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,"DF,FW",47.7801386474363,20.0,20.0,20.0,20.0,20.0,20.0,"DF,FW",54.162946610557,25.0,20.0,20.0,21.06015037593984,Lyon,20.0,21.53620744693912,20.0,20.0,20.0,20.45428801108499,"DF,FW",36.969696969696834,3000000.0,3000000.0
Adson,2023-2024,20.0,23.20262894062604,20.0,20.900077977052465,66.29042485732403,65.23309611037719,"MF,FW",29.816925289206527,20.840336134453764,20.0,22.549463135289905,24.36804853387257,23.92644036285174,22.30979229177594,"MF,FW",35.98063145970397,22.0,24.06334169220767,25.750273822562963,21.941480206540422,Nantes,26.078483954590126,20.827245138810813,21.104234527687293,27.686713286713267,20.0,24.38817130775883,"MF,FW",36.969696969696834,5000000.0,5000000.0
Adu Ares,2023-2024,20.0,22.10338599419281,20.0,20.32109043583655,66.24976094855612,65.18138672542585,FW,55.66801880110746,20.0,20.0,20.65831207718753,20.0,20.60628141254963,20.244085113209533,FW,56.363198748916886,21.0,24.65181188072753,23.727617652932143,21.159301130524128,Athletic Club,20.98358284515801,20.0,26.24884792626728,22.13519813519812,25.77777777777778,24.049012065863693,FW,54.49163449163446,2000000.0,2000000.0
Agustín Martegani,2023-2024,24.77272727272728,29.07679760056827,27.36989032901295,23.350785340314136,66.49184975194896,65.54671048706096,MF,25.942523555040456,24.783163265306108,20.0,24.523241046482088,24.85338725985844,28.14154485485208,24.48624188010232,MF,33.56534257236436,23.0,28.19382815651469,27.221546737408325,24.620583717357903,Salernitana,24.030525301918907,22.47311827956989,28.21107266435985,24.27039627039625,37.68707482993196,29.43323698166599,MF,25.40858318636084,1700000.0,1700000.0
Ahmed Touba,2023-2024,20.0,20.478802577206903,20.0,20.0,66.26506024096385,65.18633693183043,DF,33.54709934968772,20.0,20.0,20.0,20.0,20.550077810202826,20.0881692174686,DF,41.95364671385828,25.0,23.35045789591243,23.608014947490496,27.32467532467532,Lecce,23.8426220244402,27.67762798603398,23.56842105263155,23.35531135531136,20.0,25.36232905937272,DF,37.63668430335096,1600000.0,1600000.0
Aiham Ousou,2023-2024,20.0,21.219431373848497,20.0,20.940081442699235,66.28258488499452,65.21766931454113,DF,26.040392333612346,20.0,20.0,20.0,22.293724115960497,22.23952524399692,20.83523710006268,DF,33.04074225459147,23.0,24.02787288033189,24.238057758672863,27.570469798657705,Cádiz,20.93029618988986,25.501811657930823,26.01775147928993,22.13519813519812,20.0,24.98899848986614,DF,36.969696969696834,1800000.0,1800000.0
Aihen Muñoz,2023-2024,20.0,23.68898003139068,22.9579831932773,21.13061019834652,66.17178390983287,65.13280361491861,DF,44.45689266628034,33.959981386691474,31.555555555555543,28.76377952755905,31.230856494611444,28.974165462987465,32.02100049907538,DF,43.91794244101935,25.0,38.71101871101868,37.49219098616688,31.46470920383961,Real Sociedad,36.28133183688736,33.72833004169409,45.018450184501816,29.889338731443992,38.43971631205672,41.22522154825731,DF,51.74603174603168,8000000.0,8000000.0
Aimar Oroz,2023-2024,26.787878787878785,33.729464874208745,28.76660341555976,34.623489108654894,65.9437751004016,65.15705117800896,MF,39.85791857145923,32.030075187969906,26.5,40.18677897820911,37.18984879299671,45.3503899755697,36.6950532749606,MF,41.523401015204215,21.0,47.67052767052766,48.20284352845464,39.60673546985332,Osasuna,47.81818181818183,24.194767512739848,44.70445344129554,48.04439341752773,38.75901875901875,48.76597218539072,MF,36.32653061224481,15000000.0,15000000.0
Aingeru Olabarrieta,2023-2024,20.0,20.5258464985482,20.0,20.0,66.26506024096385,65.18652372571003,FW,55.66801880110746,20.0,20.0,20.0,20.0,20.0,20.0,FW,56.363198748916886,17.0,20.0,20.0,20.0,Athletic Club,20.0,20.0,20.0,20.0,20.0,20.0,FW,54.49163449163446,500000.0,500000.0
Ainsley Maitland-Niles,2023-2024,23.181818181818176,29.32628892413744,26.470588235294105,30.193654197943594,67.33601070950468,66.43484412466215,"DF,MF",47.7801386474363,32.396694214876014,46.0,32.557057233517426,32.938689217758984,35.45512367491166,37.50212396750092,"DF,MF",54.162946610557,25.0,41.35034662915703,38.34528446110724,38.02255639097743,Lyon,39.22431310186413,34.85000532041154,36.879668049792514,39.43766578249337,44.58628841607565,45.0662969663381,"DF,MF",36.969696969696834,9000000.0,9000000.0
Aitor Fernández,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,GK,39.85791857145923,20.0,20.0,20.0,20.0,20.24612029102493,20.0394493889052,GK,41.523401015204215,32.0,20.0,20.0,20.0,Osasuna,20.0,21.906712505790843,20.0,20.0,20.0,20.348633762322745,GK,36.32653061224481,1800000.0,1800000.0
Aitor Paredes,2023-2024,22.58859784283512,27.36185097967488,24.00144352219415,23.85308523003864,66.2344616561484,65.26245531545929,DF,55.66801880110746,21.15830115830116,20.0,22.633248308750133,24.39351820462402,41.6240370476044,25.247822510453613,DF,56.363198748916886,23.0,31.62952970181885,30.250948545563467,58.25693730729702,Athletic Club,42.62240543863456,67.51612172909653,37.18433179723501,29.608391608391585,20.0,45.72455662496392,DF,54.49163449163446,22000000.0,22000000.0
Aitor Ruibal,2023-2024,26.6403162055336,26.40263814387734,22.89882352941176,23.083638445300465,66.81583476764199,65.8464020236651,"DF,FW",42.70212263644753,28.51900393184795,26.70967741935484,26.98562136254705,30.753147002346903,32.19294610387858,29.501701928698573,"DF,FW",51.97035996833424,27.0,42.45742852679267,40.700985761226704,33.078260869565206,Betis,31.719086600603163,31.877319249555548,51.12131147540981,32.213333333333324,36.60280970625796,42.70154943321958,"DF,FW",44.97354497354495,3500000.0,3500000.0
Akor Adams,2023-2024,49.80044345898004,63.53816478368695,65.4717416378316,65.61438652401546,67.11325301204819,67.1331307957029,FW,41.43497950335888,33.091410197519515,27.99999999999999,33.068794032324895,24.65116279069767,24.711505468905173,29.82935336417617,FW,38.33171417492645,23.0,26.54936034580621,23.560415805703013,25.23191094619665,Montpellier,28.68639557164146,24.14000553476673,22.88920454545452,26.02879473467709,38.05555555555556,29.173435884570743,FW,42.22222222222218,10000000.0,10000000.0
Alaa Bellaarouch,2023-2024,20.0,20.0,20.0,20.0,66.26506024096385,65.18443578523363,GK,35.9629128839096,20.0,20.0,20.834645669291323,21.152122893108587,20.0,20.425487252327542,GK,37.10481617957295,21.0,20.0,20.0,20.92877727459858,Strasbourg,20.0,24.64991823992864,20.0,20.0,20.0,21.002128417265425,GK,40.57142857142859,2000000.0,2000000.0
Alan Matturro,2023-2024,20.0,20.606644071372987,20.0,20.47399064337776,66.25185674203664,65.17950827141253,DF,35.52593737256669,20.0,20.0,20.0,20.0,21.2061947163484,20.1933349105938,DF,33.4792084366575,18.0,20.54054054054054,20.95837897042713,21.941480206540422,Genoa,25.35222353404168,21.44871824560591,21.07619047619045,20.0,20.0,21.66847200130623,DF,44.97354497354495,4000000.0,4000000.0
