Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
be BEL,DF,Standard Liège,19,2003,2,1,26,0.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,Alexandro Calut,3083,A. Calut,19,61,74,180,68,Left,61,DF,13,750000,1000,203,54,22,48,59,20,251,60,48,30,55,58,347,76,69,75,55,72,266,41,74,71,50,30,239,64,54,32,44,45,170,51,59,60,54,13,8,11,10,12,3,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,54.0
dk DEN,DF,Genk,21,2000,4,0,50,0.6,0,1,1,0,0,0,0,0,0.0,1.8,1.8,0.0,1.8,,,,,,,,,,,,,1500000.0,Rasmus Carstensen,1579,R. Carstensen,21,70,78,183,75,Right,71,DF,8,3400000,6000,271,70,45,48,68,40,306,66,60,45,65,70,373,79,83,77,62,72,313,58,62,84,64,45,281,67,59,64,56,35,198,65,69,64,47,9,13,8,8,9,3,High,Medium,1,,1.0,,,,,,,,,,,1.0,,,,BelgianProLeague,59.0
be BEL,DF,Antwerp,17,2005,5,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Kobe Corbanie,3080,K. Corbanie,17,61,77,179,71,Right,61,DF,16,775000,500,250,63,48,45,59,35,273,62,51,42,52,66,307,65,74,68,42,58,253,58,62,48,38,47,240,49,58,29,38,66,175,44,64,67,49,8,10,6,13,12,2,Low,Medium,1,,0.0,,,,,,,,,,,1.0,,,,BelgianProLeague,58.0
co COL,DF,Genk,23,1999,29,29,"2,530",28.1,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,,,,,,,,,,,,,8000000.0,Carlos Cuesta,1345,C. Cuesta,23,74,81,179,81,Right,76,DF,7,8000000,12000,229,28,21,73,74,33,243,58,32,20,65,68,363,76,75,73,69,70,306,41,86,73,76,30,248,77,74,20,43,34,218,70,76,72,54,10,8,11,15,10,3,Medium,High,1,,26.0,,,,,,,,,,,37.0,,,,BelgianProLeague,74.0
be BEL,DF,Sint-Truiden,20,2002,16,16,"1,394",15.5,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6000000.0,Ameen Al-Dakhil,1733,A. Al-Dakhil,20,69,79,187,70,Right,71,DF,10,2900000,13000,210,24,22,71,68,25,218,53,22,16,66,61,329,71,75,58,65,60,273,41,66,68,74,24,232,72,67,14,47,32,205,68,69,68,50,9,14,9,10,8,3,Medium,High,1,,16.0,,,,,,,,,,,30.0,,,,BelgianProLeague,67.0
no NOR,DF,Cercle Brugge,22,2000,32,30,"2,708",30.1,1,0,1,1,0,0,8,0,0.03,0.0,0.03,0.03,0.03,,,,,,,,,,,,,3000000.0,Jesper Daland,1700,J. Daland,22,69,76,189,78,Right,71,DF,7,2600000,6000,240,38,39,72,63,28,239,49,37,28,61,64,301,55,69,53,67,57,298,55,68,67,77,31,250,66,68,37,43,36,204,70,68,66,52,14,14,6,9,9,2,Medium,Medium,1,,29.0,,,,,,,,,,,35.0,,,,BelgianProLeague,68.0
be BEL,DF,Zulte Waregem,21,2001,4,0,34,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Wout De Buyser,3616,W. De Buyser,21,56,65,183,80,Left,58,DF,9,300000,2000,183,58,21,38,41,25,203,48,41,25,44,45,306,66,68,61,50,61,236,31,60,46,71,28,197,47,57,22,39,32,178,51,66,61,48,12,13,10,6,7,3,Low,Medium,1,,0.0,,,,,,,,,,,1.0,,,,BelgianProLeague,57.0
be BEL,DF,Westerlo,21,2000,33,33,"2,949",32.8,8,6,14,4,4,5,5,0,0.24,0.18,0.43,0.12,0.31,,,,,,,,,,,,,5000000.0,Maxim De Cuyper,1582,M. De Cuyper,21,70,81,183,72,Left,71,DF,11,3400000,9000,295,73,65,42,69,46,341,67,70,71,64,69,358,70,77,71,71,69,358,75,68,80,62,73,314,59,63,63,61,68,191,58,67,66,41,11,8,7,7,8,3,High,High,1,,49.0,,,,,,,,,,,57.0,,,,BelgianProLeague,63.0
be BEL,DF,Anderlecht,18,2003,34,34,"2,901",32.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,10000000.0,Zeno Debast,1574,Z. Debast,18,70,84,189,76,Right,72,DF,14,3500000,3000,296,69,51,68,71,37,331,69,58,59,74,71,310,61,71,56,69,53,327,60,66,74,71,56,295,75,67,53,58,42,208,68,71,69,38,6,6,15,6,5,4,Medium,Medium,1,,23.0,,,,,,,,,,,32.0,,,,BelgianProLeague,67.0
be BEL,DF,Anderlecht,23,1999,16,13,"1,163",12.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2000000.0,Hannes Delcroix,1433,H. Delcroix,23,72,77,183,78,Left,74,DF,5,3200000,13000,260,58,31,70,73,28,255,55,38,27,68,67,342,68,73,65,69,67,284,45,76,64,73,26,262,69,73,36,51,33,215,69,75,71,44,10,11,7,8,8,2,Medium,Medium,1,,18.0,,,,,,,,,,,24.0,,,,BelgianProLeague,73.0
fr FRA,"DF,MF",R.F.C. Seraing,23,1999,2,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Mahamadou Dembélé,3089,M. Dembélé,23,61,67,186,78,Right,63,DF,6,475000,2000,208,33,32,67,51,25,197,49,27,28,39,54,255,53,32,58,49,63,284,51,75,65,74,19,229,60,62,29,39,39,183,56,64,63,47,7,11,10,13,6,3,Medium,Medium,1,,0.0,,,,,,,,,,,1.0,,,,BelgianProLeague,62.0
gn GUI,"MF,DF",Eupen,18,2003,10,2,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Ibrahim Diakité,2357,I. Diakité,18,65,77,178,75,Right,65,DF,12,1600000,2000,248,59,37,58,60,34,264,64,53,35,51,61,324,70,72,60,58,64,300,51,71,71,63,44,247,54,60,51,39,43,192,61,66,65,56,9,12,12,14,9,3,Medium,Medium,1,,5.0,,,,,,,,,,,4.0,,,,BelgianProLeague,60.0
be BEL,DF,Genk,20,2001,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Matisse Didden,2750,M. Didden,20,63,75,198,91,Right,65,DF,12,1100000,2000,236,48,29,68,63,28,253,55,40,40,58,60,250,52,55,50,62,31,277,57,60,51,79,30,261,62,61,38,54,46,179,60,62,57,36,7,7,6,7,9,2,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,61.0
be BEL,DF,Union SG,18,2004,6,0,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Arnaud Dony,3229,A. Dony,18,60,75,177,70,Left,60,DF,15,550000,700,197,58,28,41,58,12,227,59,43,22,45,58,337,76,72,71,54,64,244,32,70,55,56,31,237,60,56,49,39,33,164,51,57,56,57,10,7,12,13,15,3,Medium,Medium,1,,3.0,,,,,,,,,,,1.0,,,,BelgianProLeague,56.0
dk DEN,"DF,MF",Kortrijk,21,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1000000.0,Nikolas Dyhr,1703,N. Dyhr,21,69,75,177,66,Left,69,DF,6,2100000,8000,289,66,55,52,67,49,299,66,57,45,62,69,377,77,84,75,64,77,323,64,70,76,66,47,297,58,62,66,59,52,190,63,65,62,56,13,13,11,8,11,3,High,High,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,62.0
us USA,"MF,DF",Standard Liège,23,1998,22,18,"1,687",18.7,4,1,5,4,0,0,3,0,0.21,0.05,0.27,0.21,0.27,,,,,,,,,,,,,2500000.0,Marlon Fossey,1828,M. Fossey,23,68,73,179,76,Right,68,DF,5,1700000,5000,255,64,44,49,64,34,264,66,47,38,50,63,398,84,85,84,67,78,311,42,89,74,61,45,289,48,62,70,60,49,180,61,61,58,44,9,6,8,11,10,3,High,Medium,1,,20.0,,,,,,,,,,,34.0,,,,BelgianProLeague,62.0
es ESP,"DF,MF",Anderlecht,21,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2000000.0,Sergio Gómez,276,Sergio Gómez,21,74,83,171,68,Left,76,DF,9,9000000,53000,334,77,67,47,74,69,371,76,75,76,69,75,382,76,65,85,73,83,347,72,71,76,58,70,367,68,73,72,76,78,212,70,72,70,48,11,7,9,11,10,3,High,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,73.0
si SVN,DF,Eupen,23,1999,3,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Jan Gorenc,2174,J. Gorenc,22,66,72,192,80,Right,68,DF,6,1200000,3000,208,32,26,65,58,27,207,35,25,32,56,59,261,53,55,43,62,48,273,45,58,65,77,28,249,75,66,29,49,30,194,65,67,62,51,10,8,15,13,5,3,Medium,Medium,1,,2.0,,,,,,,,,,,7.0,,,,BelgianProLeague,66.0
jp JPN,"MF,DF",Sint-Truiden,23,1999,32,31,"2,755",30.6,0,2,2,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,,,,,,,,,,,,,1800000.0,Daiki Hashioka,1696,D. Hashioka,23,69,74,184,81,Right,69,DF,5,2000000,6000,310,68,58,65,66,53,307,64,64,53,60,66,330,72,73,58,68,59,356,62,75,86,73,60,300,66,57,64,63,50,193,66,65,62,40,11,6,10,7,6,3,Medium,High,1,,36.0,,,,,,,,,,,49.0,,,,BelgianProLeague,57.0
be BEL,DF,Standard Liège,20,2002,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Ibe Hautekiet,2749,I. Hautekiet,20,63,74,188,83,Right,65,DF,11,975000,2000,214,36,24,65,58,31,189,31,39,24,59,36,292,66,69,50,49,58,287,62,71,55,73,26,221,60,61,28,36,36,192,63,66,63,67,14,13,13,12,15,3,Low,High,1,,1.0,,,,,,,,,,,0.0,,,,BelgianProLeague,61.0
be BEL,DF,Anderlecht,21,2001,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Lucas Lissens,2545,L. Lissens,20,64,73,184,74,Right,66,DF,9,1200000,3000,214,43,21,66,61,23,230,46,28,29,63,64,318,66,69,67,54,62,263,42,72,55,67,27,228,70,64,24,39,31,186,56,66,64,58,15,14,13,10,6,3,Medium,Medium,1,,2.0,,,,,,,,,,,0.0,,,,BelgianProLeague,64.0
sn SEN,DF,R.F.C. Seraing,22,2000,25,25,"2,213",24.6,1,0,1,1,0,0,6,1,0.04,0.0,0.04,0.04,0.04,,,,,,,,,,,,,600000.0,Moustapha Mbow,2765,M. Mbow,22,63,70,192,82,Right,65,DF,7,900000,4000,207,23,31,68,56,29,213,42,38,32,51,50,261,58,63,38,57,45,291,52,75,62,78,24,214,57,62,24,32,39,186,62,64,60,44,6,5,14,14,5,2,Medium,Medium,1,,15.0,,,,,,,,,,,40.0,,,,BelgianProLeague,62.0
us USA,DF,Genk,23,1999,30,30,"2,696",30.0,1,0,1,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,,,,,,,,,,,,,8000000.0,Mark McKenzie,1346,M. McKenzie,23,74,81,184,83,Right,76,DF,7,8000000,12000,231,25,37,69,72,28,243,59,26,24,68,66,370,78,82,71,72,67,312,34,84,75,79,40,254,74,73,40,37,30,223,72,76,75,51,9,11,10,11,10,5,Medium,Medium,1,,21.0,,,,,,,,,,,53.0,,,,BelgianProLeague,73.0
eng ENG,DF,Oostende,22,2000,15,11,930,10.3,1,0,1,1,0,0,4,0,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,400000.0,Zech Medley,2350,Z. Medley,21,65,74,195,90,Left,67,DF,9,1500000,2000,218,34,25,67,57,35,217,50,34,29,48,56,286,55,69,53,58,51,285,41,70,62,85,27,239,65,62,32,37,43,191,62,66,63,50,10,11,5,10,14,2,Medium,High,1,,14.0,,,,,,,,,,,24.0,,,,BelgianProLeague,62.0
cl CHI,"MF,DF",Kortrijk,20,2002,27,22,"1,855",20.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1200000.0,Nayel Mehssatou,2759,N. Mehssatou,19,63,74,162,49,Right,64,DF,11,1000000,2000,253,61,38,46,62,46,290,66,52,51,56,65,387,80,69,88,55,95,293,52,77,66,41,57,262,63,56,48,51,44,179,53,63,63,57,10,10,11,14,12,5,Medium,Medium,1,,27.0,,,,,,,,,,,28.0,,,,BelgianProLeague,56.0
nl NED,"DF,MF",Club Brugge,19,2003,30,28,"2,364",26.3,3,5,8,3,0,0,3,0,0.11,0.19,0.3,0.11,0.3,,,,,,,,,,,,,10000000.0,Bjorn Meijer,1390,B. Meijer,19,73,86,191,89,Left,73,DF,13,7000000,10000,306,74,58,73,67,34,340,67,68,66,69,70,331,68,76,65,65,57,384,79,74,80,86,65,304,65,72,64,65,38,207,72,67,68,58,13,9,12,10,14,2,High,Medium,1,,22.0,,,,,,,,,,,36.0,,,,BelgianProLeague,72.0
sn SEN,"DF,MF",Anderlecht,20,2002,15,10,864,9.6,0,2,2,0,0,0,1,1,0.0,0.21,0.21,0.0,0.21,,,,,,,,,,,,,1500000.0,Moussa N'Diaye,2162,M. N'Diaye,20,66,76,181,66,Left,67,DF,10,1800000,4000,236,61,26,62,66,21,270,72,37,29,62,70,361,75,80,78,57,71,254,32,76,65,57,24,254,75,58,38,51,32,188,58,66,64,37,10,5,8,8,6,3,Medium,Medium,1,,23.0,,,,,,,,,,,9.0,,,,BelgianProLeague,58.0
be BEL,DF,Standard Liège,19,2003,4,4,303,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Nathan Ngoy,3082,N. Ngoy,19,61,74,183,74,Right,63,DF,13,725000,1000,208,45,26,57,56,24,181,41,22,16,52,50,323,74,76,60,57,56,269,41,71,64,71,22,182,63,59,14,22,24,179,59,61,59,54,12,15,8,6,13,3,Medium,High,1,,5.0,,,,,,,,,,,6.0,,,,BelgianProLeague,59.0
be BEL,DF,Standard Liège,17,2005,14,1,340,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,800000.0,Lucas Noubi,3351,L. Noubi,17,59,78,180,81,Right,61,DF,19,525000,500,184,37,15,52,60,20,222,55,34,20,55,58,312,69,69,62,51,61,263,33,68,59,80,23,207,59,54,16,44,34,171,55,59,57,52,8,8,11,11,14,3,Medium,Medium,1,,9.0,,,,,,,,,,,4.0,,,,BelgianProLeague,54.0
ng NGA,DF,Charleroi,23,1999,3,1,52,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Valentine Ozornwafor,2553,V. Ozornwafor,23,64,70,194,85,Left,66,DF,6,850000,3000,201,29,21,67,55,29,201,38,32,31,48,52,254,62,65,38,58,31,314,60,67,57,83,47,240,70,60,25,40,45,185,61,64,60,43,10,9,7,7,10,3,Medium,High,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,60.0
ec ECU,DF,Antwerp,20,2001,33,33,"2,895",32.2,0,1,1,0,0,0,3,0,0.0,0.03,0.03,0.0,0.03,,,,,,,,,,,,,11000000.0,Willian Pacho,1343,W. Pacho,20,74,84,186,81,Left,76,DF,10,8500000,12000,237,46,30,68,67,26,254,52,31,38,68,65,356,78,85,63,72,58,304,41,80,69,85,29,262,73,70,36,47,36,226,73,77,76,56,9,12,12,13,10,2,Low,Medium,1,,36.0,,,,,,,,,,,57.0,,,,BelgianProLeague,70.0
be BEL,DF,Eupen,20,2002,28,23,"2,166",24.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,500000.0,Rune Paeshuyse,2757,R. Paeshuyse,20,63,75,187,74,Right,65,DF,12,1100000,2000,227,54,22,65,62,24,233,52,35,32,56,58,302,62,70,57,59,54,266,38,60,69,68,31,236,64,65,35,31,41,186,64,62,60,45,10,7,12,8,8,2,Medium,High,1,,19.0,,,,,,,,,,,39.0,,,,BelgianProLeague,65.0
be BEL,DF,OH Leuven,21,2001,33,31,"2,784",30.9,2,6,8,2,0,0,5,0,0.06,0.19,0.26,0.06,0.26,,,,,,,,,,,,,3000000.0,Louis Patris,1839,L. Patris,21,68,77,185,77,Right,69,DF,9,2600000,4000,289,60,54,66,62,47,255,52,42,42,57,62,338,72,82,65,59,60,326,60,71,71,75,49,301,70,65,51,65,50,195,61,69,65,48,13,10,6,10,9,3,High,Medium,1,,79.0,,,,,,,,,,,76.0,,,,BelgianProLeague,65.0
be BEL,DF,OH Leuven,21,2000,32,32,"2,811",31.2,0,1,1,0,0,0,0,0,0.0,0.03,0.03,0.0,0.03,,,,,,,,,,,,,2000000.0,Ewoud Pletinckx,1997,E. Pletinckx,21,67,78,190,87,Right,69,DF,11,2100000,3000,212,31,25,69,59,28,204,37,29,26,53,59,245,47,55,35,64,44,269,41,49,70,83,26,228,70,64,30,30,34,201,64,71,66,48,13,6,9,10,10,3,Medium,High,1,,39.0,,,,,,,,,,,40.0,,,,BelgianProLeague,64.0
be BEL,DF,Cercle Brugge,20,2002,26,18,"1,738",19.3,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,,,,,,,,,,,,,1800000.0,Christiaan Ravych,2755,C. Ravych,19,63,72,187,71,Right,65,DF,9,975000,2000,204,34,16,61,66,27,196,28,28,21,62,57,282,51,57,53,64,57,212,35,55,31,66,25,215,49,65,18,51,32,192,62,67,63,38,11,10,5,7,5,3,Medium,Medium,1,,27.0,,,,,,,,,,,29.0,,,,BelgianProLeague,65.0
us USA,DF,Westerlo,21,2001,27,24,"2,077",23.1,1,2,3,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,,,,,,,,,,,,,4000000.0,Bryan Reynolds,1986,B. Reynolds,21,67,76,188,75,Right,67,DF,9,2200000,11000,274,68,47,58,62,39,242,60,47,24,51,60,323,69,70,64,67,53,308,49,72,82,63,42,280,52,62,50,62,54,183,62,65,56,56,14,13,9,7,13,3,Medium,Medium,1,,32.0,,,,,,,,,,,34.0,,,,BelgianProLeague,62.0
be BEL,DF,Club Brugge,17,2005,2,0,42,0.5,0,1,1,0,0,0,0,0,0.0,2.14,2.14,0.0,2.14,,,,,,,,,,,,,1000000.0,Kyriani Sabbe,3081,K. Sabbe,17,61,80,172,59,Right,61,DF,19,775000,500,236,58,47,45,61,25,275,66,60,29,56,64,358,76,68,72,57,85,283,59,68,57,50,49,237,49,58,48,42,40,166,57,56,53,54,9,12,14,6,13,3,Medium,Medium,1,,1.0,,,,,,,,,,,1.0,,,,BelgianProLeague,58.0
cd COD,"MF,DF",Anderlecht,17,2004,12,4,405,4.5,0,1,1,0,0,0,2,0,0.0,0.22,0.22,0.0,0.22,,,,,,,,,,,,,2000000.0,Noah Sadiki,2746,N. Sadiki,17,63,80,174,74,Right,63,DF,17,1100000,500,244,55,35,58,65,31,257,65,32,33,60,67,349,76,74,72,53,74,288,48,78,60,64,38,232,71,54,33,48,26,181,55,64,62,56,13,9,8,13,13,3,Medium,Medium,1,,7.0,,,,,,,,,,,6.0,,,,BelgianProLeague,54.0
