Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
be BEL,DF,Standard Liège,20,2003,15,13,"1,180",13.1,1,0,1,1,0,0,6,1,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,3500000.0,Nathan Ngoy,2187,N. Ngoy,20,66,77,183,74,Right,68,DF,11,1800000,3000,252,54,38,66,60,34,225,60,32,16,58,59,349,76,80,66,63,64,323,69,73,66,75,40,226,68,65,40,29,24,192,66,64,62,54,12,15,8,6,13,3,High,High,1,,18.0,,,,,,,,,,,35.0,,,,BelgianProLeague,65.0
be BEL,DF,Standard Liège,18,2005,13,11,"1,061",11.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3000000.0,Lucas Noubi,2189,L. Noubi,18,66,81,180,81,Right,68,DF,15,1900000,1000,199,37,15,62,65,20,243,64,34,20,59,66,336,75,75,62,63,61,282,33,81,65,80,23,230,68,61,16,51,34,190,64,64,62,52,8,8,11,11,14,3,Medium,Medium,1,,16.0,,,,,,,,,,,20.0,,,,BelgianProLeague,61.0
ma MAR,"DF,MF",Genk,21,2001,13,12,"1,062",11.8,0,2,2,0,0,0,3,0,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,4500000.0,Zakaria El Ouahdi,1573,Z. El Ouahdi,21,70,78,172,66,Right,72,DF,8,3400000,6000,277,72,58,28,67,52,334,75,65,63,60,71,384,78,69,82,72,83,287,48,52,81,51,55,282,35,70,52,67,58,188,54,69,65,46,8,8,11,14,5,3,High,Medium,1,,21.0,,,,,,,,,,,13.0,,,,BelgianProLeague,70.0
be BEL,DF,Eupen,21,2002,27,26,"2,272",25.2,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Rune Paeshuyse,2587,R. Paeshuyse,21,64,73,187,74,Right,66,DF,9,1200000,2000,225,54,22,65,60,24,236,52,35,32,56,61,302,60,69,57,62,54,276,38,69,69,69,31,238,64,67,35,31,41,188,66,62,60,45,10,7,12,8,8,2,Medium,High,1,,27.0,,,,,,,,,,,41.0,,,,BelgianProLeague,67.0
eng ENG,DF,Standard Liège,22,2000,5,2,219,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1200000.0,Jonathan Panzo,1688,J. Panzo,22,69,76,188,72,Left,71,DF,7,2600000,21000,267,63,35,69,67,33,280,63,53,33,65,66,325,66,72,61,61,65,326,63,77,66,76,44,284,69,70,42,60,43,201,60,72,69,45,9,10,6,12,8,3,Medium,Medium,1,,2.0,,,,,,,,,,,3.0,,,,BelgianProLeague,70.0
be BEL,DF,Anderlecht,22,2001,15,10,932,10.4,1,0,1,1,0,0,4,0,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,2000000.0,Louis Patris,1822,L. Patris,22,68,75,187,75,Right,69,DF,7,2300000,8000,274,62,44,64,62,42,268,60,42,42,62,62,336,70,79,65,62,60,318,60,72,67,70,49,306,75,68,51,62,50,199,65,69,65,48,13,10,6,10,9,3,High,Medium,1,,23.0,,,,,,,,,,,24.0,,,,BelgianProLeague,68.0
be BEL,"MF,DF",Westerlo,18,2005,17,17,"1,465",16.3,0,1,1,0,0,0,5,1,0.0,0.06,0.06,0.0,0.06,,,,,,,,,,,,,2500000.0,Arthur Piedfort,2780,A. Piedfort,18,63,81,180,68,Right,65,DF,18,1200000,700,199,28,20,62,64,25,193,24,22,25,58,64,321,68,63,55,66,69,261,36,70,73,65,17,225,66,65,34,27,33,183,59,66,58,55,10,13,14,12,6,3,Medium,High,1,,20.0,,,,,,,,,,,17.0,,,,BelgianProLeague,65.0
be BEL,DF,OH Leuven,22,2000,30,30,"2,700",30.0,3,0,3,3,0,0,4,0,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,2000000.0,Ewoud Pletinckx,1836,E. Pletinckx,22,68,75,190,85,Right,70,DF,7,2300000,5000,214,31,25,70,60,28,206,37,29,26,54,60,227,39,52,33,64,39,293,41,71,72,83,26,228,70,64,30,30,34,203,65,71,67,48,13,6,9,10,10,3,Medium,High,1,,24.0,,,,,,,,,,,26.0,,,,BelgianProLeague,64.0
be BEL,DF,Cercle Brugge,21,2002,15,12,"1,071",11.9,0,2,2,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,4000000.0,Christiaan Ravych,2005,C. Ravych,20,67,76,192,75,Right,69,DF,9,2100000,3000,213,34,16,68,58,37,230,52,28,31,57,62,276,45,53,53,67,58,249,45,67,31,71,35,235,69,70,23,41,32,199,63,70,66,38,11,10,5,7,5,4,Medium,Medium,1,,28.0,,,,,,,,,,,16.0,,,,BelgianProLeague,70.0
us USA,"DF,MF",Westerlo,22,2001,27,27,"2,354",26.2,0,2,2,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,,,,,,,,,,,,,3000000.0,Bryan Reynolds,1575,B. Reynolds,22,70,77,188,75,Right,71,DF,7,3100000,6000,283,69,47,61,67,39,299,71,58,34,66,70,336,72,69,69,72,54,317,49,74,82,70,42,287,58,68,50,57,54,195,68,65,62,56,14,13,9,7,13,3,Medium,Medium,1,,37.0,,,,,,,,,,,33.0,,,,BelgianProLeague,68.0
be BEL,"DF,MF",Westerlo,20,2003,16,11,943,10.5,1,2,3,1,0,0,1,1,0.1,0.19,0.29,0.1,0.29,,,,,,,,,,,,,1200000.0,Tuur Rommens,2585,T. Rommens,20,64,75,185,77,Left,65,DF,11,1200000,2000,232,66,32,48,61,25,271,66,48,35,60,62,329,64,73,72,61,59,262,42,59,66,64,31,231,58,58,35,42,38,182,53,65,64,55,11,15,11,12,6,3,High,Medium,1,,17.0,,,,,,,,,,,22.0,,,,BelgianProLeague,58.0
be BEL,DF,Club Brugge,18,2005,12,5,563,6.3,0,2,2,0,0,0,1,0,0.0,0.32,0.32,0.0,0.32,,,,,,,,,,,,,4500000.0,Kyriani Sabbe,1996,K. Sabbe,18,67,83,172,68,Right,68,DF,16,2500000,2000,261,70,47,50,69,25,291,68,64,29,64,66,374,79,73,74,63,85,288,59,62,67,51,49,276,58,64,54,60,40,185,61,62,62,54,9,12,14,6,13,3,High,Medium,1,,10.0,,,,,,,,,,,5.0,,,,BelgianProLeague,64.0
be BEL,"MF,DF",OH Leuven,19,2004,24,21,"1,705",18.9,2,1,3,2,0,0,3,1,0.11,0.05,0.16,0.11,0.16,,,,,,,,,,,,,2000000.0,Richie Sagrado,2400,R. Sagrado,19,65,78,183,79,Right,65,DF,13,1600000,2000,246,61,43,55,61,26,251,70,42,32,45,62,344,75,75,70,59,65,257,24,70,70,64,29,266,60,64,57,40,45,177,59,60,58,47,8,8,7,13,11,3,Medium,Medium,1,,25.0,,,,,,,,,,,15.0,,,,BelgianProLeague,64.0
be BEL,"MF,DF",Gent,21,2001,29,27,"2,329",25.9,5,0,5,5,0,0,4,0,0.19,0.0,0.19,0.19,0.19,,,,,,,,,,,,,3500000.0,Matisse Samoise,1485,M. Samoise,21,71,78,180,70,Right,72,DF,7,3800000,11000,305,70,64,52,70,49,324,69,63,58,67,67,358,74,78,73,66,67,351,67,67,90,63,64,316,72,65,64,68,47,195,63,67,65,47,5,8,6,15,13,3,High,High,1,,56.0,,,,,,,,,,,27.0,,,,BelgianProLeague,65.0
be BEL,DF,Anderlecht,21,2002,25,22,"1,980",22.0,0,4,4,0,0,0,4,0,0.0,0.18,0.18,0.0,0.18,,,,,,,,,,,,,5000000.0,Killian Sardella,1477,K. Sardella,21,71,80,177,64,Right,71,DF,9,4000000,10000,280,71,32,64,71,42,321,70,58,53,68,72,375,75,73,81,68,78,283,50,70,71,58,34,279,69,63,55,61,31,202,63,70,69,46,8,14,8,6,10,4,Medium,Medium,1,,18.0,,,,,,,,,,,14.0,,,,BelgianProLeague,63.0
fr FRA,"MF,DF",RWD Molenbeek,17,2005,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,Mamadou Sarr,2199,M. Sarr,17,66,82,194,77,Right,68,DF,16,2000000,500,208,36,21,67,63,21,237,51,49,30,49,58,283,54,68,41,63,57,289,58,71,60,74,26,245,63,65,19,54,44,195,64,68,63,52,14,5,8,13,12,3,Medium,Medium,1,,14.0,,,,,,,,,,,5.0,,,,BelgianProLeague,65.0
